Name,Azim,Elev
11W11,138.204,17.2311
11W12,136.005,16.7191
11W13,133.968,16.2049
11W14,132.073,15.7195
12E14,215.846,15.0819
12E13,213.397,15.5878
12E12,210.809,16.0751
12E11,208.064,16.5633
12E10,205.166,17.0298
12E9,202.14,17.4818
12E8,198.976,17.9053
12E7,195.685,18.281
12E6,192.271,18.6073
12E5,188.781,18.8754
12E4,185.225,19.0877
12E3,181.627,19.226
12E2,178.006,19.3028
12E1,174.408,19.2931
12W1,170.849,19.2186
12W2,167.368,19.092
12W3,163.976,18.9012
12W4,160.696,18.6547
12W5,157.539,18.3687
12W6,154.523,18.0451
12W7,151.647,17.6845
12W8,148.923,17.3004
12W9,146.342,16.9135
12W10,143.914,16.5034
12W11,141.625,16.0989
12W12,139.47,15.6995
12W13,137.442,15.273
12W14,135.543,14.8631
13E14,212.728,13.9545
13E13,210.395,14.3651
13E12,207.936,14.7665
13E11,205.373,15.1551
13E10,202.689,15.5193
13E9,199.901,15.8689
13E8,197.007,16.1927
13E7,194.021,16.4896
13E6,190.956,16.7368
13E5,187.821,16.9471
13E4,184.644,17.1102
13E3,181.448,17.2254
13E2,178.226,17.2929
13E1,175.013,17.296
13W1,171.846,17.2672
13W2,168.731,17.1805
13W3,165.676,17.0471
13W4,162.699,16.8767
13W5,159.821,16.6764
13W6,157.029,16.4395
13W7,154.364,16.1834
13W8,151.818,15.8963
13W9,149.367,15.6017
13W10,147.034,15.2988
13W11,144.838,14.9796
13W12,142.746,14.6564
13W13,140.763,14.3206
13W14,138.886,13.9859
14E6,189.798,15.0513
14E5,186.988,15.2182
14E4,184.141,15.348
14E3,181.291,15.4489
14E2,178.418,15.5076
14E1,175.57,15.5235
14W1,172.718,15.5063
14W2,169.911,15.4558
14W3,167.152,15.3628
14W4,164.468,15.2651
14W5,161.84,15.1281
14W6,159.29,14.9671
